t=2026-05-15T11:57:40+0700 lvl=info msg="no configuration paths supplied"
t=2026-05-15T11:57:40+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-15T11:57:40+0700 lvl=info msg="open config file" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-15T11:57:40+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-15T11:57:41+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-15T11:57:41+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-15T11:57:41+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-15T11:57:41+0700 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:4000 url=https://leida-unfluked-ulises.ngrok-free.dev
t=2026-05-15T11:57:57+0700 lvl=info msg=start pg=/api/tunnels id=109fe8684fda3b35
t=2026-05-15T11:57:57+0700 lvl=info msg=end pg=/api/tunnels id=109fe8684fda3b35 status=200 dur=1.6745ms
t=2026-05-15T11:58:55+0700 lvl=info msg="join connections" obj=join id=f86b9cec3a4c l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:54716
t=2026-05-15T12:01:54+0700 lvl=info msg="join connections" obj=join id=d69afeb27ed9 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:01:54+0700 lvl=info msg="join connections" obj=join id=8111d371640a l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:01:55+0700 lvl=info msg="join connections" obj=join id=f91db5c233f6 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:01:55+0700 lvl=info msg="join connections" obj=join id=c4ce75e80863 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:02:03+0700 lvl=info msg="join connections" obj=join id=ddf5d64f6cc7 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:02:04+0700 lvl=info msg="join connections" obj=join id=32974e536ad9 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:02:04+0700 lvl=info msg="join connections" obj=join id=f913f5f13afa l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:02:15+0700 lvl=info msg="join connections" obj=join id=8ce8736a9466 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:02:18+0700 lvl=info msg="join connections" obj=join id=c399ab716f46 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:02:28+0700 lvl=info msg="join connections" obj=join id=d64adb23b6ec l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:02:54+0700 lvl=info msg="join connections" obj=join id=480450d25999 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:02:54+0700 lvl=info msg="join connections" obj=join id=a65f0ac8a3db l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:03:12+0700 lvl=info msg="join connections" obj=join id=02a3d7e4e32b l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:03:12+0700 lvl=info msg="join connections" obj=join id=b3cab6a87a13 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:03:24+0700 lvl=info msg="join connections" obj=join id=87ccc774b898 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:03:44+0700 lvl=info msg="join connections" obj=join id=32379561b873 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:03:48+0700 lvl=info msg="join connections" obj=join id=7459436a1ca1 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:03:48+0700 lvl=info msg="join connections" obj=join id=8e9006540490 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:03:48+0700 lvl=info msg="join connections" obj=join id=c099e184288a l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:03:48+0700 lvl=info msg="join connections" obj=join id=806fe9aa0691 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:03:55+0700 lvl=info msg="join connections" obj=join id=5d27f6a3c49f l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:03:55+0700 lvl=info msg="join connections" obj=join id=32f67ea3fc5b l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:03:57+0700 lvl=info msg="join connections" obj=join id=94240a8f97c6 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:04:18+0700 lvl=info msg="join connections" obj=join id=641f5fc16f10 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:04:48+0700 lvl=info msg="join connections" obj=join id=9d3c9f5d503e l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:05:18+0700 lvl=info msg="join connections" obj=join id=7cca17c6afed l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:05:27+0700 lvl=info msg="join connections" obj=join id=808c43592b83 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:05:36+0700 lvl=info msg="join connections" obj=join id=e18bff772a52 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:05:48+0700 lvl=info msg="join connections" obj=join id=af7e1b47bc22 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:06:18+0700 lvl=info msg="join connections" obj=join id=a4b171afd725 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:06:48+0700 lvl=info msg="join connections" obj=join id=ca5044af5600 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:07:18+0700 lvl=info msg="join connections" obj=join id=dc0130acc671 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:08:19+0700 lvl=info msg="join connections" obj=join id=84d1abb7d595 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:09:20+0700 lvl=info msg="join connections" obj=join id=9c2e1f5b583b l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:10:21+0700 lvl=info msg="join connections" obj=join id=4219ed58237d l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:11:22+0700 lvl=info msg="join connections" obj=join id=636a21c6f24a l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:11:48+0700 lvl=info msg="join connections" obj=join id=5e7260f876b4 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:12:18+0700 lvl=info msg="join connections" obj=join id=015af25beb7d l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:12:54+0700 lvl=info msg="join connections" obj=join id=ec2f96d873a6 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:12:56+0700 lvl=info msg="join connections" obj=join id=af597709d0cb l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:12:56+0700 lvl=info msg="join connections" obj=join id=8d4f033131d0 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
